case,val_index,finding_id,category,row,model,policy,dice,hit,gt_voxels,pred_voxels,tp,fp,fn,pp3_route_corrected
train_3029_a_1.nii.gz,1,1,1c,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.06187872764390865,False,3174,93402,2988,90414,186,True
train_3029_a_1.nii.gz,1,1,1c,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.06187872764390865,False,3174,93402,2988,90414,186,True
train_19711_a_1.nii.gz,2,0,2c,overall_best,exp007_cont_e050_abs_e150,raw,0.47965721079654194,True,87725,33399,29049,4350,58676,False
train_19711_a_1.nii.gz,2,0,2c,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.47965721079654194,True,87725,33399,29049,4350,58676,False
train_19711_a_1.nii.gz,2,0,2c,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.47965721079654194,True,87725,33399,29049,4350,58676,False
train_19711_a_1.nii.gz,2,0,2c,category_best,exp007_cont_e050_abs_e150,raw,0.47965721079654194,True,87725,33399,29049,4350,58676,False
train_19711_a_1.nii.gz,2,0,2c,category_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.47965721079654194,True,87725,33399,29049,4350,58676,False
train_19711_a_1.nii.gz,2,0,2c,category_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.47965721079654194,True,87725,33399,29049,4350,58676,False
train_19711_a_1.nii.gz,2,0,2c,iso07_best,exp017_cont_e050_abs_e150,raw,0.3344862846277999,True,87725,24740,18809,5931,68916,False
train_19711_a_1.nii.gz,2,0,2c,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.3344862846277999,True,87725,24740,18809,5931,68916,False
train_19711_a_1.nii.gz,2,0,2c,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.3344862846277999,True,87725,24740,18809,5931,68916,False
train_2553_a_2.nii.gz,3,0,2a,overall_best,exp007_cont_e050_abs_e150,raw,0.623136291895144,True,10452,12352,7105,5247,3347,False
train_2553_a_2.nii.gz,3,0,2a,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.623136291895144,True,10452,12352,7105,5247,3347,False
train_2553_a_2.nii.gz,3,0,2a,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.623136291895144,True,10452,12352,7105,5247,3347,False
train_2553_a_2.nii.gz,3,0,2a,category_best,exp009_s3v2_e100,raw,0.6118294759096009,True,10452,17157,8446,8711,2006,False
train_2553_a_2.nii.gz,3,0,2a,category_best,exp009_s3v2_e100,pp2_whole_lung20,0.6118294759096009,True,10452,17157,8446,8711,2006,False
train_2553_a_2.nii.gz,3,0,2a,category_best,exp009_s3v2_e100,pp3_fine20_corrected_routes,0.6118294759096009,True,10452,17157,8446,8711,2006,False
train_2553_a_2.nii.gz,3,0,2a,iso07_best,exp017_cont_e050_abs_e150,raw,0.622362120960172,True,10452,12104,7019,5085,3433,False
train_2553_a_2.nii.gz,3,0,2a,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.622362120960172,True,10452,12104,7019,5085,3433,False
train_2553_a_2.nii.gz,3,0,2a,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.622362120960172,True,10452,12104,7019,5085,3433,False
train_18411_a_2.nii.gz,4,0,2d,overall_best,exp007_cont_e050_abs_e150,raw,0.8314606746307285,True,161,195,148,47,13,False
train_18411_a_2.nii.gz,4,0,2d,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.8314606746307285,True,161,195,148,47,13,False
train_18411_a_2.nii.gz,4,0,2d,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.8314606746307285,True,161,195,148,47,13,False
train_18411_a_2.nii.gz,4,0,2d,category_best,exp007_cont_e050_abs_e150,raw,0.8314606746307285,True,161,195,148,47,13,False
train_18411_a_2.nii.gz,4,0,2d,category_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.8314606746307285,True,161,195,148,47,13,False
train_18411_a_2.nii.gz,4,0,2d,category_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.8314606746307285,True,161,195,148,47,13,False
train_18411_a_2.nii.gz,4,0,2d,iso07_best,exp017_cont_e050_abs_e150,raw,0.6515463924710384,True,161,324,158,166,3,False
train_18411_a_2.nii.gz,4,0,2d,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.6515463924710384,True,161,324,158,166,3,False
train_18411_a_2.nii.gz,4,0,2d,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.6515463924710384,True,161,324,158,166,3,False
train_2675_a_1.nii.gz,5,0,2a,overall_best,exp007_cont_e050_abs_e150,raw,0.6240984302876329,True,1687,3027,1471,1556,216,False
train_2675_a_1.nii.gz,5,0,2a,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.6240984302876329,True,1687,3027,1471,1556,216,False
train_2675_a_1.nii.gz,5,0,2a,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.7351324338492923,True,1687,2315,1471,844,216,False
train_2675_a_1.nii.gz,5,0,2a,category_best,exp009_s3v2_e100,raw,0.6477346629855333,True,1687,2926,1494,1432,193,False
train_2675_a_1.nii.gz,5,0,2a,category_best,exp009_s3v2_e100,pp2_whole_lung20,0.6477346629855333,True,1687,2926,1494,1432,193,False
train_2675_a_1.nii.gz,5,0,2a,category_best,exp009_s3v2_e100,pp3_fine20_corrected_routes,0.6982939939943225,True,1687,2592,1494,1098,193,False
train_2675_a_1.nii.gz,5,0,2a,iso07_best,exp017_cont_e050_abs_e150,raw,0.7031881455538418,True,1687,2767,1566,1201,121,False
train_2675_a_1.nii.gz,5,0,2a,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.7031881455538418,True,1687,2767,1566,1201,121,False
train_2675_a_1.nii.gz,5,0,2a,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.7031881455538418,True,1687,2767,1566,1201,121,False
train_2675_a_1.nii.gz,5,1,1c,overall_best,exp007_cont_e050_abs_e150,raw,0.013086797233631048,False,10232,141524,993,140531,9239,False
train_2675_a_1.nii.gz,5,1,1c,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.013087659648273513,False,10232,141514,993,140521,9239,False
train_2675_a_1.nii.gz,5,1,1c,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.013087659648273513,False,10232,141514,993,140521,9239,False
train_2675_a_1.nii.gz,5,1,1c,category_best,exp017_cont_e075_abs_e175,raw,0.011016937524746667,False,10232,62565,401,62164,9831,False
train_2675_a_1.nii.gz,5,1,1c,category_best,exp017_cont_e075_abs_e175,pp2_whole_lung20,0.011067564597440557,False,10232,62232,401,61831,9831,False
train_2675_a_1.nii.gz,5,1,1c,category_best,exp017_cont_e075_abs_e175,pp3_fine20_corrected_routes,0.011067564597440557,False,10232,62232,401,61831,9831,False
train_2675_a_1.nii.gz,5,1,1c,iso07_best,exp017_cont_e050_abs_e150,raw,0.012484287864659067,False,10232,153654,1023,152631,9209,False
