method_family	model_id	result_dir	checkpoint	mean_dice	hits	hit_rate	raw_like	result_hash	dice_2a	dice_2b	dice_2c	dice_2d
zoom_out_256_matched	zoom_out_256_matched__s3_allcategory_1over1_step6000__41ddedf7	outputs/zoom_out_256_matched/fullvol_evaluation/s3_allcategory_1over1_step6000	/common/lidxxlab/chushu/RexGroundingCT/outputs/zoom_out_256_matched/s3_allcategory_1over1_from_update3250_10000microsteps_patchval500/checkpoints/checkpoint_best_val_dice_step_6000.pth	0.3031991049738247	274	0.7191601049868767	True	41ddedf7d2cef79ef0b072c6ef894cb8e239320351950993e8af0d60c4ab30f6	0.3034723264367521	0.3250115746400276	0.3743539012162082	0.3307674384107923
prompt_location_alignment_loss_v1_allcat1over1_step6000	prompt_location_alignment_loss_v1_allcat1over1_step6000__full381_update250__9f26ba1d	outputs/prompt_location_alignment_loss_v1_allcat1over1_step6000/full381_update250	/common/lidxxlab/chushu/RexGroundingCT/outputs/prompt_location_alignment_loss_v1_allcat1over1_step6000/checkpoints/checkpoint_update_250.pth	0.3026651293956853	274	0.7191601049868767	True	9f26ba1defe601babbc194bb411f9104da82c5e0d0925d925a59c5e99415fec6	0.2978250049902091	0.3287315254459285	0.3686423261383741	0.3339537374237883
original_voxtell_semantic_screen_1k	original_voxtell_semantic_screen_1k__full200_1000__9b94b235	outputs/original_voxtell_semantic_screen_1k/b0_original/full200_1000	/common/lidxxlab/chushu/RexGroundingCT/outputs/original_voxtell_semantic_screen_1k/b0_original/full200_exports/checkpoint_update_1000_inference.pth	0.3016030709501826	282	0.7401574803149606	True	9b94b2354a65463b47db0cf6e0b8eaa628b4ac24274fce174d879b92a0f807c7	0.2836934021294839	0.3347234661913467	0.3716021218253231	0.3302600693080071
archived_experiment_records	archived_experiment_records__update_50__d38b395b	outputs/archived_experiment_records/20260728/result_folder_first_wave/closed_negative_experiments/prompt_residual_adapter_s3_early_checkpoint_diagnostic/full_eval/multiscale_2b2c/update_50	/common/lidxxlab/chushu/RexGroundingCT/outputs/prompt_residual_adapter_s3_early_checkpoint_diagnostic/full_eval/multiscale_2b2c/eval_base_model/fold_0/checkpoint_final.pth	0.30121814463251523	277	0.7270341207349081	True	d38b395b5cdb0d71cd3adc542de18ee8755f84c432fc5a3c99f10bfcd620879a	0.2929259512724722	0.3355604101259807	0.3628656854828671	0.332704821670048
roi_aware_weighted_seg_v2strict_full381_update100_update250_eval	roi_aware_weighted_seg_v2strict_full381_update100_update250_eval__update250_control__1e60e06e	outputs/roi_aware_weighted_seg_v2strict_full381_update100_update250_eval/update250_control	/common/lidxxlab/chushu/RexGroundingCT/outputs/roi_aware_weighted_seg_v2strict_lowLR_alpha0_allcat1over1_step6000/checkpoints/checkpoint_update_250.pth	0.30043548980047197	277	0.7270341207349081	True	1e60e06e2e80c543da2f0b3c457724927997212f7fa6f522ed4f2cd4393b1184	0.3023461710851956	0.3315836075702653	0.3565128679047877	0.329365323644881
lobe_roi_segmentation_loss_5k_cached	lobe_roi_segmentation_loss_5k_cached__update_04000__3ce6073d	outputs/lobe_roi_segmentation_loss_5k_cached/full200/update_04000	/common/lidxxlab/chushu/RexGroundingCT/outputs/lobe_roi_segmentation_loss_5k_cached/checkpoints/checkpoint_update_4000.pth	0.28456596712116156	269	0.7060367454068242	True	3ce6073d6ff8429f6895c61ccb3164289f01baaef5f094d244579bfccd90cd1f	0.2840005961866864	0.3181557415802233	0.3670378998122117	0.2859960442521529
b3_s1_lobe_roi_resampling_8k	b3_s1_lobe_roi_resampling_8k__update_02000__e0dace3e	outputs/b3_s1_lobe_roi_resampling_8k/native_no_resampling/full200/update_02000	/common/lidxxlab/chushu/RexGroundingCT/outputs/b3_s1_lobe_roi_resampling_8k/native_no_resampling/full200/models/update_02000/fold_0/checkpoint_final.pth	0.28449050165551387	273	0.7165354330708661	True	e0dace3e51ed25f980989c96aa4d51e451511aae173ec26d5a3c960bc485378d	0.2776738591395961	0.2887312865609159	0.3624483854145564	0.3055909963888539
prompt_residual_adapter_best_s3_frozen	prompt_residual_adapter_best_s3_frozen__update_100__98caef32	outputs/prompt_residual_adapter_best_s3_frozen/full_eval/update_100	/common/lidxxlab/chushu/RexGroundingCT/outputs/prompt_residual_adapter_best_s3_frozen/full_eval/eval_base_model/fold_0/checkpoint_final.pth	0.28137608559042876	266	0.6981627296587927	True	98caef3298442ec5bd576a0ccb262fa1ef9b8b051ba182e476e6654acbcc58c6	0.2542366735512288	0.3262543409696287	0.3730383922888824	0.2947307629256657
dual_s3_multifov	dual_s3_multifov__full_volume_update2000_globalonly_dual_s3_context_only_update2000__ccd78262	outputs/dual_s3_multifov/from_s3_step6000_update1500_focal96_bf16_2h100_to_update6500/full_volume_update2000_globalonly_dual_s3_context_only_update2000	/common/lidxxlab/chushu/RexGroundingCT/outputs/dual_s3_multifov/from_s3_step6000_update1500_focal96_bf16_2h100_to_update6500/voxtell_compatible_models/update2000_dual_s3_context_only_update2000/fold_0/checkpoint_final.pth	0.27423774459920863	261	0.6850393700787402	True	ccd78262febbcaa4f15e123d618a9c727770b86804c130d6b3583a97753945d1	0.2417243360862455	0.3265466263768135	0.3674359019060161	0.2869564604624277
dual_s3_smoke	dual_s3_smoke__baseline_step6000_summary_check__098b2aa2	outputs/dual_s3_smoke/baseline_step6000_summary_check		0.2740197185538815	259	0.6797900262467191	True	098b2aa2c935289c028e3da0f3a9715a4920066bde114368f4c3f9ae0e2556a5	0.23959589990794	0.3253989350602588	0.3651480511293266	0.2898668733158335
s3d_matched_continue_from_weakdiffuse_control_step1000	s3d_matched_continue_from_weakdiffuse_control_step1000__category_analysis__440e1ba2	outputs/s3d_matched_continue_from_weakdiffuse_control_step1000/allcat_1over1_only_to_step6000/full_volume_step6000_globalonly_allcat_1over1_step6000/category_analysis	/common/lidxxlab/chushu/RexGroundingCT/outputs/s3d_matched_continue_from_weakdiffuse_control_step1000/allcat_1over1_only_to_step6000/voxtell_compatible_models/step6000_allcat_1over1_step6000/fold_0/checkpoint_final.pth	0.27360043496553166	261	0.6850393700787402	True	440e1ba2e9917e722977fbc2980695cafd083fba182372519600b9a233dc951d	0.2479657009581175	0.3213101706654609	0.3664973722717493	0.284729223653378
s3_diffuse_coverage_tv_matched_from_s3d_step400	s3_diffuse_coverage_tv_matched_from_s3d_step400__category_analysis__a5c43bec	outputs/s3_diffuse_coverage_tv_matched_from_s3d_step400/weakdiffuse_gate_control/full_volume_step1000_globalonly_weakdiffuse_gate_control/category_analysis	/common/lidxxlab/chushu/RexGroundingCT/outputs/s3_diffuse_coverage_tv_matched_from_s3d_step400/weakdiffuse_gate_control/voxtell_compatible_models/step1000_weakdiffuse_gate_control/fold_0/checkpoint_final.pth	0.271812342823036	254	0.6666666666666666	True	a5c43bec095409214e2161769b0e5de5b7cbd4cf3a560847d1fbbbe29a8dc43f	0.2260355426910966	0.3266523656009253	0.3633156719419529	0.2907333856759142
s3d_multiscale_2b2c_train_nowrong_from_adaptive_step600	s3d_multiscale_2b2c_train_nowrong_from_adaptive_step600__full_volume_step400_globalonly_2b2c__a412c184	outputs/s3d_multiscale_2b2c_train_nowrong_from_adaptive_step600/full_volume_step400_globalonly_2b2c	/common/lidxxlab/chushu/RexGroundingCT/outputs/s3d_multiscale_2b2c_train_nowrong_from_adaptive_step600/voxtell_compatible_models/step400_2b2c/fold_0/checkpoint_final.pth	0.2710225483145534	253	0.6640419947506562	True	a412c1843f3884b2e40d917a714e89dd5defe88cb1b366dace10f2a4ca106e0a	0.2273227333203439	0.3208466029635128	0.3687967634475626	0.2892853662534403
biomedclip_cls	biomedclip_cls__biomedclip_cls_update7000__0989866a	outputs/biomedclip_cls/matched_from_voxtell_init/full200_selected/biomedclip_cls_update7000	/common/lidxxlab/chushu/RexGroundingCT/outputs/biomedclip_cls/matched_from_voxtell_init/checkpoints/checkpoint_update_7000.pth	0.2658974177686638	265	0.6955380577427821	True	0989866ac08670d50ff6dcb7675061a9d80e5d809d5b8b98d5b1af07a6c27c0a	0.2199378925788308	0.2575318087376608	0.3682860219264938	0.3117175166927086
pubmedbert_voxtell	pubmedbert_voxtell__pubmedbert_cls_update7200__5e070cfe	outputs/pubmedbert_voxtell/PBT-CLS/full200_selected/pubmedbert_cls_update7200	/common/lidxxlab/chushu/RexGroundingCT/outputs/pubmedbert_voxtell/PBT-CLS/checkpoints/checkpoint_update_7200.pth	0.25225939492967137	252	0.6614173228346457	True	5e070cfec7a23dead06b8a957f2eaa7cc386cd7a7a71dc39b0712a9a38377a34	0.2166478017106035	0.2535378743499221	0.3328018436957206	0.290962277200161
medplex_trainable_text_study	medplex_trainable_text_study__P0_update_4000__a228e3fe	outputs/medplex_trainable_text_study/full200_selected_checkpoints/full_validation/P0_update_4000	/common/lidxxlab/chushu/RexGroundingCT/outputs/pbt_trainable_control_from4800/checkpoints/checkpoint_update_4000.pth	0.2473467016959409	259	0.6797900262467191	True	a228e3fe72bc9a44b9477110c1edb9b14efc0285189fca255a0a4f1b613917cf	0.2126941189565554	0.2386588126403174	0.3389106860334189	0.2907933375561294
