method_family	model_id	result_dir	checkpoint	mean_dice	hits	hit_rate	raw_like	result_hash	dice_2a	dice_2b	dice_2c	dice_2d
qwen_complementarity_full200	qwen_complementarity_full200__q0__2898dd8b	outputs/qwen_complementarity_full200/source_metrics/q0		0.3285152961288672	288	0.7559055118110236	True	2898dd8bc216fedcff781fd96660b0f691163ec00b1a031f7e6851ab9efe776a	0.3322496784215248	0.3621251705012173	0.3544397588576704	0.3746886419856025
c_global_lambda01_v11	c_global_lambda01_v11__b0_update5000__e620bf6e	outputs/c_global_lambda01_v11/full200/b0_update5000	/common/lidxxlab/chushu/RexGroundingCT/outputs/a2_fan_v11_longrun_5000/B0/checkpoints/checkpoint_update_5000.pth	0.3284072245617925	288	0.7559055118110236	True	e620bf6ea3f07a06c95f05eb21b857458129348bf633e5b69e229adc9d4885e7	0.3322108585978286	0.3620762237516217	0.3544856586141896	0.3744473815060706
s3_full200_every1000	s3_full200_every1000__update_06000__8a24d746	outputs/s3_full200_every1000/results/clean_multiscale_strict2b2c/update_06000	/common/lidxxlab/chushu/RexGroundingCT/outputs/s3_multiscale_2b2c_v11_e1e-5_d1e-4_s3e1e-4_1gpu_bs1_acc4_10kupd/voxtell_compatible_models/clean_multiscale_strict2b2c_update6000/fold_0/checkpoint_final.pth	0.32835096750513143	294	0.7716535433070866	True	8a24d74647b8ac264ae0bb10bbd7f590e0e777c70ec6f2c128b8d798b4d2478c	0.3195817379536875	0.3676216094099972	0.3901622690101776	0.3556005755237357
attention_scale_screen_control_u500	attention_scale_screen_control_u500__update500__bb5ba37f	outputs/attention_scale_screen_control_u500/full381/update500		0.32834273240910744	287	0.7532808398950132	True	bb5ba37f51a265cff81bab1ca4c1886981829bb28f180ec5ab2e358c42127b79	0.3126229151138542	0.3500690993006841	0.3914697600752099	0.3604446763242551
current_best_full200_validation	current_best_full200_validation__e3_semantic_update3600_best_fixed30__6cac124c	outputs/current_best_full200_validation/e3_semantic_update3600_best_fixed30	/common/lidxxlab/chushu/RexGroundingCT/outputs/a2_fan_preserve_semantic_grounding_v11_5000/checkpoints/checkpoint_update_3600.pth	0.326806686887125	294	0.7716535433070866	True	6cac124c5f66cb7747eaaac26265b07f637cad0a2595fdf52164f64f2a0a74c2	0.3110419754528685	0.3617060271498753	0.3800474790953075	0.3630591652504438
attention_scale_screen_1_2_u500	attention_scale_screen_1_2_u500__update500__646afe72	outputs/attention_scale_screen_1_2_u500/full381/update500		0.32658874396275234	287	0.7532808398950132	True	646afe726f7bb78973350736972f90b60f623df16a0df26e60a3d85388499a12	0.3091653826213931	0.3552365754329062	0.3931295329605228	0.3553487858125125
qwen_early_coadaptation_from_v11	qwen_early_coadaptation_from_v11__C1_update_5000__92378e4c	outputs/qwen_early_coadaptation_from_v11/full_validation_selected_checkpoints/full_validation/C1_update_5000	/common/lidxxlab/chushu/RexGroundingCT/outputs/qwen_lora_top6_global_from_v11/checkpoints/checkpoint_update_5000.pth	0.3251869783409958	292	0.7664041994750657	True	92378e4cdb4f77344a805e19fd5bfd3e5235435744164afe09bc5e3cf6f5e1ec	0.3203378715801163	0.3625134776618576	0.3733683257031036	0.3638332307379338
sera_functional_experts_v11_5k	sera_functional_experts_v11_5k__S1_FUNC__417cbfb2	outputs/sera_functional_experts_v11_5k/full381_update3000/S1_FUNC	/common/lidxxlab/chushu/RexGroundingCT/sera_functional_experts_worktree/outputs/sera_functional_experts_v11_5k/full381_update3000/S1_FUNC/model/fold_0/checkpoint_final.pth	0.3229843024058165	288	0.7559055118110236	True	417cbfb22974a3f88523131e42b80fc5e884189611fa0230d85f1ccd1d6f91ce	0.3329288872016347	0.3597224386627213	0.368245624281473	0.3498683788944424
attention_scale_screen_1_4_u500	attention_scale_screen_1_4_u500__update500__9a879693	outputs/attention_scale_screen_1_4_u500/full381/update500		0.32233244178736115	283	0.7427821522309711	True	9a87969338e4fc6d8752a3fa27cf43259c184a683d0ba090e1075fbd94e12689	0.3127717790935167	0.3484946996171038	0.3838471067337621	0.3518861968355772
b3_candidate_router_ablation_v11	b3_candidate_router_ablation_v11__functional_k1_u4000__b822578d	outputs/b3_candidate_router_ablation_v11/full200/functional_k1_u4000	/common/lidxxlab/chushu/RexGroundingCT/outputs/b3_candidate_router_ablation_v11/functional_k1_first/checkpoints/checkpoint_update_4000.pth	0.32122835070031397	291	0.7637795275590551	True	b822578d15a2cedeb11625ce51c131c7644ce02da28677c4860a0d5cfb737ff9	0.3368381041488397	0.3340065299291019	0.373992542644601	0.3499197290411098
